PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5c7e91c1973c990016ea72b0,2.0,3.0,2.0,1.0,5.0,55.0,2.0,2.0,5.0
5e753094e8a6f10a9805ed9a,3.0,3.0,3.0,1.0,49.0,64.0,2.0,2.0,5.0
5e67052c757e6149c38ce468,2.0,1.0,2.0,4.0,5.0,23.0,1.0,1.0,7.0
5d89106d1719af0001ee23e5,2.0,1.0,1.0,6.0,5.0,47.0,2.0,2.0,5.0
5dc5bd296a8a334443fbf216,2.0,2.0,4.0,4.0,47.0,48.0,2.0,2.0,5.0
5dce29700ad506063969a4a5,2.0,5.0,1.0,6.0,17.0,36.0,2.0,2.0,5.0
5d6394518df2870001a74b42,2.0,1.0,2.0,1.0,5.0,23.0,2.0,2.0,5.0
5e784ba802c79b3c2e227bd3,2.0,7.0,3.0,4.0,10.0,21.0,1.0,2.0,6.0
5bdd368719b9ba000157fb12,2.0,4.0,2.0,4.0,5.0,28.0,2.0,1.0,5.0
5e4a0a67110b3747ea173d60,3.0,2.0,2.0,1.0,18.0,56.0,1.0,2.0,5.0
5e605d713d60473af936cc65,2.0,1.0,1.0,5.0,3.0,26.0,1.0,2.0,2.0
574ce0a57fd0ec000db73aa6,3.0,1.0,3.0,3.0,36.0,69.0,2.0,2.0,5.0
5d75c56a52c89d0017df611c,2.0,1.0,2.0,1.0,10.0,38.0,2.0,2.0,4.0
55bb74f1fdf99b1519ef4762,2.0,1.0,2.0,2.0,23.0,48.0,1.0,2.0,5.0
5a8ce265000dab00018ce084,2.0,6.0,2.0,3.0,5.0,50.0,2.0,2.0,5.0
5c72efa770d5a200018028f1,3.0,2.0,2.0,3.0,5.0,71.0,1.0,2.0,5.0
5c30b2a910677f0001dda4c8,2.0,4.0,3.0,1.0,20.0,50.0,2.0,2.0,5.0
5d506e6d4040a40016bb186a,3.0,3.0,2.0,2.0,17.0,74.0,1.0,2.0,5.0
57f0d96061e8340001877045,3.0,1.0,2.0,4.0,32.0,58.0,1.0,2.0,5.0
5db4a409d27e05000f0eaa00,2.0,2.0,2.0,7.0,10.0,29.0,1.0,2.0,5.0
5dcfc4a09595a10cd3ef3e59,2.0,1.0,2.0,3.0,7.0,20.0,2.0,2.0,2.0
59349d79f1b3f00001964d04,2.0,1.0,2.0,3.0,42.0,61.0,2.0,2.0,5.0
58d7d2c2e9b6dc000129148a,2.0,1.0,3.0,2.0,48.0,24.0,1.0,2.0,5.0
5d464c8a4bfe160001692125,2.0,7.0,4.0,1.0,3.0,23.0,2.0,2.0,1.0
5e455faf462e0802d9d9c3e2,2.0,1.0,2.0,1.0,43.0,25.0,1.0,1.0,5.0
5aea962d0ef2f20001858c9c,2.0,1.0,2.0,2.0,5.0,36.0,1.0,2.0,5.0
5e4b793f03c92a08a6d28e3f,2.0,7.0,2.0,4.0,5.0,21.0,1.0,2.0,2.0
5c29b88810677f0001dc2c56,2.0,1.0,2.0,1.0,47.0,54.0,1.0,2.0,5.0
5dc9a379d210e46baff956fb,2.0,1.0,2.0,4.0,13.0,20.0,1.0,1.0,7.0
5cc15d5d3f664f001594a8ce,2.0,1.0,2.0,2.0,4.0,32.0,1.0,2.0,5.0
5e6690ca0ef3a301da87b4d9,2.0,1.0,3.0,3.0,25.0,26.0,2.0,2.0,2.0
59235471e937bd0001ca0245,2.0,1.0,3.0,3.0,10.0,21.0,2.0,2.0,4.0
5cbc071f2edc3b00018ab097,2.0,1.0,2.0,3.0,5.0,36.0,1.0,2.0,2.0
5e49fdf1a95b8c46bd19f1eb,2.0,1.0,2.0,1.0,47.0,49.0,2.0,2.0,4.0
5c804f4092ad770015846011,2.0,1.0,2.0,2.0,6.0,55.0,2.0,2.0,2.0
55b0eabffdf99b2228330785,3.0,1.0,2.0,1.0,47.0,65.0,2.0,2.0,5.0
5e2897fd0351e803a40629a5,2.0,1.0,3.0,5.0,9.0,24.0,2.0,2.0,5.0
5db103ed236ef00013611a6f,2.0,1.0,2.0,1.0,1.0,36.0,2.0,2.0,5.0
5d52d9233d8e6b001b0dcd7f,2.0,1.0,2.0,2.0,14.0,34.0,2.0,2.0,5.0
5c1b06d9a329230001ecc39c,2.0,1.0,2.0,2.0,5.0,25.0,1.0,2.0,3.0
5de7d12c26dd95000b6824c5,2.0,1.0,3.0,6.0,26.0,44.0,1.0,2.0,5.0
5e576e085069e61204a85872,2.0,7.0,3.0,4.0,5.0,19.0,1.0,1.0,5.0
5e684375c130c31002de5a3b,2.0,1.0,2.0,1.0,14.0,44.0,1.0,2.0,5.0
5bd0607192f92c0001f84021,2.0,5.0,2.0,2.0,46.0,34.0,2.0,2.0,4.0
5e8422f22612591891e71bb6,2.0,5.0,2.0,1.0,22.0,18.0,1.0,2.0,4.0
579e1e2b275be6000135af15,2.0,1.0,4.0,1.0,14.0,44.0,1.0,2.0,5.0
5dec30eb6c078132a7db440e,3.0,4.0,3.0,2.0,43.0,58.0,2.0,2.0,5.0
5cbe7fdb82218d00172aa4f3,3.0,1.0,1.0,7.0,43.0,60.0,2.0,2.0,5.0
5dd406d9c23e0d3e6dacc034,2.0,4.0,2.0,3.0,35.0,54.0,2.0,2.0,5.0
55b9a9b0fdf99b6906d2aba4,3.0,2.0,1.0,5.0,14.0,64.0,1.0,2.0,5.0
5e2298499138e055cfd97ae0,2.0,2.0,1.0,6.0,21.0,49.0,2.0,1.0,5.0
5dcf50f05686c1099819882a,3.0,3.0,2.0,1.0,5.0,66.0,1.0,2.0,5.0
5cdcd4ca9f75db0001411660,2.0,1.0,3.0,3.0,7.0,35.0,1.0,2.0,5.0
5e838c804a170009da55fd93,2.0,1.0,2.0,2.0,3.0,21.0,1.0,2.0,6.0
5d1dd3126c07ef0015d8c375,2.0,1.0,2.0,1.0,3.0,28.0,2.0,1.0,5.0
5d2d8b999c6703001525304f,2.0,1.0,1.0,7.0,5.0,25.0,1.0,1.0,5.0
5e78d6a0bc70c94664aae415,2.0,1.0,2.0,6.0,49.0,24.0,1.0,2.0,2.0
5910a67f5a530d00011f9561,2.0,1.0,3.0,4.0,10.0,52.0,2.0,2.0,5.0
5dc208b532b0ad172977f774,1.0,1.0,2.0,5.0,5.0,19.0,2.0,1.0,6.0
5e5d3499f5bf520402da1afd,2.0,1.0,2.0,3.0,35.0,23.0,1.0,1.0,5.0
5dabebf8e022cd0014da4c87,2.0,1.0,1.0,5.0,23.0,25.0,2.0,2.0,2.0
5658000ca9872d0011e1ba26,2.0,1.0,2.0,1.0,35.0,30.0,1.0,2.0,5.0
5b6a87d2cda8590001db8e07,2.0,1.0,2.0,1.0,5.0,39.0,1.0,2.0,2.0
