PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
5df82e8739bcde5dd044f741,2.0,1.0,4.0,4.0,5.0,32.0,1.0,2.0,5.0,3.0
5e7745990fd39b2a816ec341,2.0,2.0,2.0,4.0,35.0,25.0,1.0,2.0,4.0,3.0
5b68d45687af3100015849a9,3.0,4.0,2.0,1.0,5.0,58.0,2.0,2.0,5.0,9.0
5d378df21acda30001e7191e,2.0,2.0,3.0,5.0,5.0,19.0,1.0,1.0,5.0,3.0
55885869fdf99b4020ba0b64,2.0,1.0,2.0,1.0,32.0,25.0,2.0,2.0,5.0,2.0
5cf17b927c3db00019d46169,2.0,1.0,1.0,4.0,13.0,40.0,1.0,2.0,5.0,2.0
57dd87ea722df500017f42c7,3.0,2.0,2.0,1.0,37.0,71.0,1.0,2.0,5.0,5.0
5e154952c76aa6b40619b1d3,2.0,1.0,2.0,1.0,38.0,29.0,2.0,2.0,5.0,5.0
5d3f5c8f0d0d29001a4bd973,2.0,1.0,1.0,6.0,5.0,19.0,1.0,2.0,2.0,2.0
5547db0efdf99b067c298a1a,2.0,1.0,1.0,6.0,18.0,29.0,1.0,2.0,5.0,3.0
5e4db97c679288216771f059,2.0,3.0,2.0,4.0,47.0,50.0,2.0,2.0,2.0,5.0
5c13e067e7ed9400016af458,2.0,1.0,3.0,3.0,25.0,25.0,2.0,2.0,5.0,6.0
5e14ffee6f6c63b33cf77eb3,2.0,4.0,2.0,2.0,28.0,40.0,2.0,2.0,5.0,5.0
5e335595bac1953243a29c68,2.0,1.0,2.0,2.0,47.0,19.0,1.0,2.0,5.0,2.0
5bd7971b0aac450001f951aa,3.0,3.0,2.0,2.0,9.0,54.0,2.0,2.0,5.0,4.0
5e3625061662ea5dcd6d83fd,3.0,2.0,1.0,4.0,38.0,69.0,2.0,2.0,5.0,4.0
5e80df6ef5008e7bff2ec9b3,2.0,5.0,3.0,4.0,25.0,59.0,2.0,2.0,5.0,5.0
5e741a09b23f4d392d8eac07,2.0,1.0,2.0,2.0,20.0,20.0,2.0,2.0,4.0,1.0
5d1e2045a37a4d001a1fc2cb,2.0,1.0,2.0,1.0,22.0,20.0,1.0,2.0,4.0,3.0
5d2f95a51caa8f00178e2683,2.0,1.0,2.0,1.0,5.0,21.0,2.0,1.0,8.0,3.0
5e34bbfdd87fbf4a5001b133,3.0,1.0,4.0,4.0,22.0,59.0,1.0,3.0,7.0,7.0
5d58976b10ce3800155c7037,2.0,1.0,2.0,1.0,36.0,19.0,2.0,2.0,5.0,2.0
5ccf9a3dc24ebe0001f9fce2,2.0,1.0,3.0,4.0,5.0,26.0,1.0,1.0,8.0,4.0
5d54a751c15b0700018d01b5,2.0,1.0,1.0,6.0,36.0,50.0,1.0,2.0,5.0,5.0
5850d667b64b9e00017cb722,3.0,1.0,2.0,2.0,17.0,58.0,1.0,2.0,5.0,2.0
5d7e7207461e51001c5c236c,2.0,1.0,2.0,2.0,28.0,21.0,1.0,2.0,2.0,2.0
5df571156e8aab3e3095e772,2.0,7.0,3.0,1.0,21.0,19.0,1.0,2.0,5.0,3.0
5e755282d5af780bbc81393d,2.0,1.0,2.0,2.0,32.0,21.0,2.0,2.0,5.0,3.0
5dc066bcb98b12018175a43f,2.0,1.0,2.0,1.0,47.0,59.0,2.0,2.0,5.0,6.0
5e533e14b9be8335344392e0,2.0,1.0,2.0,2.0,40.0,19.0,1.0,2.0,5.0,3.0
5e713e7de44b920601e6386f,2.0,1.0,2.0,3.0,21.0,21.0,1.0,2.0,5.0,3.0
5d4a6459061e2a000138bad3,1.0,2.0,2.0,1.0,47.0,43.0,1.0,2.0,6.0,5.0
5e814c34bb2c2c832616ff37,1.0,1.0,3.0,3.0,13.0,20.0,1.0,1.0,7.0,3.0
5dbde069baf28d309690b407,2.0,3.0,2.0,2.0,33.0,26.0,2.0,2.0,2.0,6.0
5d4686c336bf400015d3fd14,1.0,1.0,1.0,5.0,5.0,29.0,2.0,2.0,5.0,2.0
5e27d1e626d974a11ba9b323,2.0,1.0,2.0,2.0,9.0,22.0,1.0,2.0,2.0,5.0
5e6855fa0d86991013cbcb04,2.0,7.0,2.0,2.0,10.0,19.0,2.0,2.0,1.0,2.0
5d94e5f466644a001788f676,2.0,1.0,2.0,1.0,5.0,24.0,2.0,1.0,6.0,5.0
5c7f6bbdc2d6ce00015af169,2.0,1.0,2.0,2.0,5.0,21.0,1.0,2.0,5.0,3.0
5e6a620470c6e1000c9b2295,2.0,7.0,3.0,2.0,29.0,18.0,1.0,2.0,5.0,3.0
5a5c23afe0cf3d0001268781,2.0,1.0,2.0,1.0,38.0,23.0,2.0,2.0,5.0,6.0
5e14d7161e2e58af20665d86,2.0,1.0,1.0,4.0,22.0,23.0,2.0,2.0,5.0,6.0
5dae7182b0f51200108e909a,2.0,3.0,1.0,5.0,16.0,23.0,1.0,2.0,5.0,3.0
5be9ce784f251d00015ce92e,1.0,3.0,2.0,1.0,38.0,28.0,1.0,2.0,5.0,5.0
5bdc6d16d9bc4e0001134779,1.0,3.0,2.0,1.0,9.0,24.0,2.0,2.0,5.0,5.0
5e5aba2a834c492af6d50928,2.0,1.0,1.0,5.0,46.0,19.0,1.0,2.0,2.0,3.0
591d0f93529e9f0001ec6e20,2.0,1.0,2.0,3.0,43.0,25.0,1.0,1.0,4.0,5.0
5a91b1d389de8200013eae9e,1.0,5.0,3.0,4.0,28.0,36.0,2.0,2.0,5.0,4.0
5c0b388b9c7b1100015ab55f,1.0,3.0,1.0,7.0,47.0,52.0,2.0,2.0,5.0,5.0
5d7af4ee784e52001b9b02da,1.0,4.0,1.0,7.0,9.0,34.0,1.0,2.0,5.0,5.0
5de7d67e253a5a017b1833e4,3.0,7.0,4.0,1.0,3.0,50.0,1.0,2.0,5.0,3.0
5c6f00110b99a000018cc3c1,1.0,1.0,2.0,1.0,7.0,22.0,2.0,2.0,5.0,3.0
5cbf40e256e0b40017a60d2f,2.0,1.0,2.0,2.0,43.0,21.0,1.0,2.0,5.0,5.0
5e612ecc86a23003331a385f,1.0,1.0,3.0,5.0,38.0,41.0,2.0,2.0,5.0,5.0
5e63ff31e4e9bf183d956072,1.0,1.0,2.0,2.0,10.0,39.0,2.0,2.0,5.0,4.0
5d7b2e78698dea001853b5ec,1.0,4.0,2.0,1.0,10.0,32.0,1.0,2.0,5.0,5.0
5e7105fe01f4ef019a0c1ae4,1.0,1.0,2.0,2.0,38.0,28.0,2.0,2.0,5.0,4.0
5dfc64647adf4b971f329cbf,2.0,1.0,3.0,5.0,5.0,32.0,1.0,1.0,5.0,3.0
5a9262251eda410001360b2c,1.0,1.0,3.0,4.0,43.0,37.0,2.0,2.0,6.0,2.0
5e6ee3fb16a99749db19daca,2.0,1.0,2.0,2.0,13.0,29.0,2.0,2.0,5.0,5.0
5e3db8f9456974000afeb855,2.0,1.0,1.0,6.0,5.0,18.0,2.0,2.0,2.0,3.0
55894f58fdf99b5ccca3c2f7,1.0,1.0,3.0,5.0,9.0,27.0,1.0,2.0,4.0,5.0
5e7ce396ded6d3350759146b,1.0,1.0,2.0,3.0,46.0,21.0,2.0,2.0,6.0,2.0
5dd02afa181abc1253c5eab7,1.0,2.0,2.0,1.0,46.0,45.0,1.0,2.0,5.0,5.0
5c095f832570ea0001642474,1.0,1.0,2.0,3.0,43.0,40.0,2.0,2.0,4.0,5.0
5e2cd44c032d282faa2e2ee2,1.0,2.0,2.0,5.0,22.0,54.0,2.0,2.0,4.0,7.0
5dcbff95f9d4a08915f9334c,2.0,3.0,1.0,3.0,37.0,30.0,2.0,2.0,5.0,7.0
5cc4b3f36f21710001a49557,1.0,3.0,2.0,1.0,46.0,27.0,2.0,2.0,2.0,7.0
5ddb3f8d2a30aca96c6a105c,1.0,3.0,2.0,2.0,5.0,25.0,1.0,1.0,5.0,5.0
5d3899e31c8fb9001ca6183c,1.0,2.0,3.0,4.0,22.0,34.0,1.0,2.0,5.0,5.0
5c8ec999bb6a3c00014acf5f,1.0,2.0,3.0,4.0,5.0,51.0,2.0,1.0,5.0,3.0
5b118915e9270900013c298c,2.0,1.0,3.0,4.0,36.0,41.0,1.0,2.0,5.0,4.0
5d4a36e8a61675000169036f,1.0,2.0,3.0,2.0,31.0,35.0,2.0,2.0,5.0,9.0
5e26ed82677d6f91fcf492f8,1.0,2.0,2.0,2.0,22.0,40.0,1.0,1.0,6.0,9.0
5e7943283da1364fd72556f5,1.0,2.0,3.0,5.0,21.0,27.0,1.0,2.0,5.0,2.0
5e6d3b17a2b73d2f7aef3d04,1.0,3.0,1.0,6.0,5.0,53.0,2.0,2.0,5.0,2.0
5e41c1315bb2570548948925,1.0,4.0,2.0,2.0,10.0,62.0,1.0,2.0,2.0,8.0
5e6b034bffc1a90c3fe8c234,1.0,3.0,3.0,5.0,18.0,19.0,1.0,2.0,4.0,2.0
5dd4c20186c8864a376f7480,1.0,2.0,2.0,3.0,30.0,25.0,1.0,1.0,5.0,5.0
5c37e2591ede2b0001154ba6,1.0,3.0,3.0,4.0,3.0,46.0,2.0,2.0,5.0,5.0
5e52d20170c9cd2eb708e113,1.0,2.0,2.0,2.0,13.0,19.0,1.0,1.0,1.0,3.0
5dcf7b49523df00ae9c4e07e,1.0,4.0,3.0,4.0,30.0,26.0,2.0,2.0,5.0,5.0
5dd8da70fef7c2880a12500d,1.0,3.0,3.0,5.0,5.0,32.0,1.0,2.0,2.0,5.0
5d4916dd20a7c00016ab9d19,1.0,4.0,2.0,2.0,32.0,24.0,1.0,2.0,2.0,5.0
5bf4be094d725900012288cf,1.0,2.0,2.0,3.0,14.0,26.0,2.0,2.0,5.0,7.0
5dd6861c070fdc6179d8003e,1.0,6.0,3.0,4.0,10.0,52.0,2.0,2.0,5.0,5.0
5cb4c5bad44c410017960aa0,1.0,2.0,2.0,2.0,47.0,51.0,2.0,2.0,5.0,7.0
