PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5e3f3666b504fb19a5fe769e,3.0,2.0,3.0,4.0,14.0,60.0,1.0,2.0,5.0
5ceef5a66441f4000139711f,2.0,1.0,2.0,1.0,47.0,52.0,2.0,2.0,5.0
5de1ad8ec638d4203bbc7c26,2.0,1.0,3.0,3.0,18.0,22.0,2.0,1.0,5.0
5d9b97c0654a3102c8112b9f,2.0,1.0,2.0,3.0,23.0,20.0,1.0,2.0,5.0
5e83ab61cd31510f15585845,2.0,2.0,4.0,1.0,47.0,25.0,2.0,2.0,5.0
5e274515f4dbbd97cb866f5e,2.0,1.0,3.0,3.0,43.0,32.0,2.0,2.0,5.0
5cc619058d2a1e001785c3aa,2.0,1.0,3.0,5.0,33.0,20.0,1.0,2.0,5.0
5e67524094c67a000a04ca8e,2.0,1.0,2.0,1.0,48.0,23.0,1.0,2.0,5.0
5699cf0625d9e9000db0c789,2.0,1.0,2.0,2.0,43.0,56.0,2.0,2.0,5.0
5c9ac1ed2497d20001689f53,2.0,1.0,2.0,2.0,5.0,29.0,2.0,2.0,5.0
58cec6c08460040001e1ee79,2.0,1.0,2.0,1.0,37.0,42.0,2.0,2.0,5.0
5de8bc74553cee8280a7dd84,2.0,1.0,3.0,2.0,5.0,22.0,1.0,1.0,5.0
5c4de75466c1530001c0e502,2.0,1.0,2.0,2.0,22.0,23.0,1.0,2.0,5.0
5e5554bb2f1d9c56332af459,3.0,5.0,2.0,3.0,21.0,37.0,2.0,2.0,5.0
5d204134abea8100173fa8a4,2.0,1.0,2.0,2.0,38.0,33.0,1.0,2.0,5.0
5e6ef277e02fac4be3672beb,2.0,5.0,3.0,4.0,10.0,27.0,1.0,2.0,5.0
5e83347f35bbd104e85a363e,2.0,1.0,2.0,3.0,10.0,20.0,1.0,1.0,6.0
5e64ff1841845826d0092f34,2.0,1.0,2.0,2.0,32.0,26.0,2.0,1.0,8.0
5d354625ca8f5b00178344b6,2.0,3.0,3.0,2.0,3.0,25.0,1.0,2.0,5.0
5d3b79a59d5c14000140c32f,2.0,4.0,2.0,2.0,5.0,46.0,2.0,2.0,6.0
5808f958b648e600016375dd,2.0,1.0,2.0,2.0,3.0,43.0,1.0,2.0,5.0
5e11d3a06f6c6387a67923c1,3.0,1.0,1.0,5.0,43.0,48.0,1.0,2.0,5.0
5d536c12e8e89600182760ad,2.0,1.0,3.0,2.0,13.0,24.0,1.0,2.0,5.0
5c43fc3c083ec5000180f46b,2.0,1.0,2.0,3.0,35.0,30.0,2.0,2.0,2.0
5e1a596b1739e92cc59c1154,2.0,1.0,3.0,4.0,5.0,18.0,1.0,2.0,2.0
59306fc35f170a00014358da,2.0,1.0,3.0,4.0,22.0,21.0,1.0,2.0,5.0
5d745d5ad259c60001062cc3,2.0,1.0,2.0,2.0,21.0,18.0,1.0,2.0,2.0
5c31a3a58a20f50001eaa6bd,2.0,1.0,2.0,2.0,30.0,19.0,1.0,2.0,5.0
