states,estimate_totalPop,percente_male,percente_female,estimate_male,estimate_female,percent_oneRace,percent_more1race,percent_oneRace_white,percent_oneRace_asian,percent_oneRace_black,percent_oneRace_nativeAm,percent_oneRace_pacificIsl,percent_oneRace_other,percent_HispOrLat,percent_NotHispOrLat,estimate_oneRace,estimate_more1race,estimate_oneRace_white,estimate_oneRace_asian,estimate_oneRace_black,estimate_oneRace_nativeAm,estimate_oneRace_pacificIsl,estimate_HispOrLat,estimate_NotHispOrLat,estimate_male_age_15to19,estimate_male_age_20to24,estimate_male_age_25to29,estimate_male_age_30to34,estimate_male_age_35to39,estimate_male_age_40to44,estimate_male_age_45to49,estimate_male_age_50to54,estimate_male_age_55to59,estimate_male_age_60to64,estimate_male_age_65to69,estimate_male_age_70to74,estimate_male_age_75to79,estimate_male_age_80to84,estimate_male_age_85andOver,precent_male_age_15to19,precent_male_age_20to24,precent_male_age_25to29,precent_male_age_30to34,precent_male_age_35to39,precent_male_age_40to44,precent_male_age_45to49,precent_male_age_50to54,precent_male_age_55to59,precent_male_age_60to64,precent_male_age_65to69,precent_male_age_70to74,precent_male_age_75to79,precent_male_age_80to84,precent_male_age_85andOver,estimate_female_age_15to19,estimate_female_age_20to24,estimate_female_age_25to29,estimate_female_age_30to34,estimate_female_age_35to39,estimate_female_age_40to44,estimate_female_age_45to49,estimate_female_age_50to54,estimate_female_age_55to59,estimate_female_age_60to64,estimate_female_age_65to69,estimate_female_age_70to74,estimate_female_age_75to79,estimate_female_age_80to84,estimate_female_age_85andOver,precent_female_age_15to19,precent_female_age_20to24,precent_female_age_25to29,precent_female_age_30to34,precent_female_age_35to39,precent_female_age_40to44,precent_female_age_45to49,precent_female_age_50to54,precent_female_age_55to59,precent_female_age_60to64,precent_female_age_65to69,precent_female_age_70to74,precent_female_age_75to79,precent_female_age_80to84,precent_female_age_85andOver,precent_total_age_15to19,precent_total_age_20to24,precent_total_age_25to29,precent_total_age_30to34,precent_total_age_35to39,precent_total_age_40to44,precent_total_age_45to49,precent_total_age_50to54,precent_total_age_55to59,precent_total_age_60to64,precent_total_age_65to69,precent_total_age_70to74,precent_total_age_75to79,precent_total_age_80to84,precent_total_age_85andOver
Alabama,4864680,48.4,51.6,2355799,2508881,98.1,1.9,68.2,1.3,26.6,0.5,0,1.4,4.2,95.8,4773061,91619,3317453,64609,1293186,25576,2182,203146,4661534,163800,169235,162663,148737,144144,147214,150559,160452,160682,145606,122087,91817,61026,38279,27192,7,7.2,6.9,6.3,6.1,6.2,6.4,6.8,6.8,6.2,5.2,3.9,2.6,1.6,1.2,160114,165181,165559,155701,153698,154326,159748,170310,173329,163398,141012,108141,80154,57880,56244,6.4,6.6,6.6,6.2,6.1,6.2,6.4,6.8,6.9,6.5,5.6,4.3,3.2,2.3,2.2,6.7,6.9,6.7,6.3,6.1,6.2,6.4,6.8,6.9,6.4,5.4,4.1,2.9,2,1.7
Alaska,738516,52.2,47.8,385579,352937,91.5,8.5,64.8,6.3,3.3,14.4,1.2,1.5,6.9,93.1,676055,62461,478834,46556,24129,106660,8849,51186,687330,25161,32621,32871,29750,26104,22094,23403,25326,25948,23048,17188,10386,5747,3282,2334,6.5,8.5,8.5,7.7,6.8,5.7,6.1,6.6,6.7,6,4.5,2.7,1.5,0.9,0.6,22290,24128,28979,26919,23444,21037,21471,23144,24956,20805,15707,10085,5694,4092,3913,6.3,6.8,8.2,7.6,6.6,6,6.1,6.6,7.1,5.9,4.5,2.9,1.6,1.2,1.1,6.4,7.7,8.4,7.7,6.7,5.8,6.1,6.6,6.9,5.9,4.5,2.8,1.5,1,0.8
Arizona,6946685,49.7,50.3,3453439,3493246,96.4,3.6,77.2,3.3,4.4,4.5,0.2,6.8,31.1,68.9,6693802,252883,5364141,228887,305259,309580,14112,2163312,4783373,238847,254828,253812,235745,218187,213557,209738,209304,202117,191853,176033,140586,102589,64662,50044,6.9,7.4,7.3,6.8,6.3,6.2,6.1,6.1,5.9,5.6,5.1,4.1,3,1.9,1.4,229350,233527,234547,221707,215619,207857,210350,215871,218373,216975,199568,158048,114385,73900,78505,6.6,6.7,6.7,6.3,6.2,6,6,6.2,6.3,6.2,5.7,4.5,3.3,2.1,2.2,6.7,7,7,6.6,6.2,6.1,6,6.1,6.1,5.9,5.4,4.3,3.1,2,1.9
Arkansas,2990671,49.1,50.9,1468412,1522259,97.5,2.5,77,1.5,15.4,0.7,0.3,2.6,7.3,92.7,2914819,75852,2302874,43988,460970,20037,7969,219052,2771619,103084,104637,99732,94689,92867,90446,89915,95671,94127,87185,76323,56516,39873,24481,19211,7,7.1,6.8,6.4,6.3,6.2,6.1,6.5,6.4,5.9,5.2,3.8,2.7,1.7,1.3,97984,99769,100506,94492,95262,90009,92179,98715,101233,94743,84582,66603,48538,34362,37047,6.4,6.6,6.6,6.2,6.3,5.9,6.1,6.5,6.7,6.2,5.6,4.4,3.2,2.3,2.4,6.7,6.8,6.7,6.3,6.3,6,6.1,6.5,6.5,6.1,5.4,4.1,3,2,1.9
California,39148760,49.7,50.3,19453769,19694991,95.2,4.8,60.1,14.3,5.8,0.8,0.4,13.8,38.9,61.1,37266533,1882227,23529068,5604339,2267875,296475,153366,15221577,23927183,1320593,1452316,1571925,1467111,1335677,1271347,1287549,1280116,1203213,1055916,835664,589271,405391,273776,253509,6.8,7.5,8.1,7.5,6.9,6.5,6.6,6.6,6.2,5.4,4.3,3,2.1,1.4,1.3,1262985,1357314,1470739,1394237,1309353,1268788,1290222,1297966,1262708,1136561,942605,693891,499498,373791,448061,6.4,6.9,7.5,7.1,6.6,6.4,6.6,6.6,6.4,5.8,4.8,3.5,2.5,1.9,2.3,6.6,7.2,7.8,7.3,6.8,6.5,6.6,6.6,6.3,5.6,4.5,3.3,2.3,1.7,1.8
Colorado,5531141,50.3,49.7,2780831,2750310,96.4,3.6,84.2,3.1,4.1,1,0.1,3.9,21.4,78.6,5333813,197328,4655584,172695,227938,54483,8296,1184794,4346347,182800,198127,221913,219400,199031,185937,181419,178165,178485,160273,130170,87863,56335,33978,29570,6.6,7.1,8,7.9,7.2,6.7,6.5,6.4,6.4,5.8,4.7,3.2,2,1.2,1.1,171830,179860,204719,203125,191163,173146,175971,179799,184516,170892,138270,99528,65456,45975,53493,6.2,6.5,7.4,7.4,7,6.3,6.4,6.5,6.7,6.2,5,3.6,2.4,1.7,1.9,6.4,6.8,7.7,7.6,7.1,6.5,6.5,6.5,6.6,6,4.9,3.4,2.2,1.4,1.5
Connecticut,3581504,48.8,51.2,1747131,1834373,96.8,3.2,76.4,4.4,10.6,0.3,0,5.2,15.7,84.3,3468074,113430,2734880,158817,378262,9698,1173,561791,3019713,126342,127094,113032,109545,103316,105773,120774,132434,129374,113567,88017,64036,43544,28605,29825,7.2,7.3,6.5,6.3,5.9,6.1,6.9,7.6,7.4,6.5,5,3.7,2.5,1.6,1.7,120840,118396,106947,110324,107236,110698,128414,140516,136796,122382,98074,77287,55333,43497,59362,6.6,6.5,5.8,6,5.8,6,7,7.7,7.5,6.7,5.3,4.2,3,2.4,3.2,6.9,6.9,6.1,6.1,5.9,6,7,7.6,7.4,6.6,5.2,3.9,2.8,2,2.5
Delaware,949495,48.4,51.6,459570,489925,97.3,2.7,69,3.9,22.1,0.4,0.1,1.9,9.1,90.9,923486,26009,654905,36723,209892,3455,477,86315,863180,30300,31005,33137,30102,27662,25972,28892,31832,31908,28926,26378,19562,13733,7817,6956,6.6,6.7,7.2,6.6,6,5.7,6.3,6.9,6.9,6.3,5.7,4.3,3,1.7,1.5,29498,30017,32966,30153,28834,27770,31116,34613,36267,32700,30943,22783,16928,10547,11482,6,6.1,6.7,6.2,5.9,5.7,6.4,7.1,7.4,6.7,6.3,4.7,3.5,2.2,2.3,6.3,6.4,7,6.3,6,5.7,6.3,7,7.2,6.5,6,4.5,3.2,1.9,1.9
District of Columbia,684498,47.5,52.5,324881,359617,97.1,2.9,41,3.9,46.9,0.3,0,4.9,10.9,89.1,664355,20143,280469,26718,321317,1993,340,74776,609722,17645,24904,37850,36999,28413,20714,19244,19208,17978,14996,10982,9434,5706,3549,3707,5.4,7.7,11.7,11.4,8.7,6.4,5.9,5.9,5.5,4.6,3.4,2.9,1.8,1.1,1.1,19772,29213,44563,40304,29082,20967,19030,18978,18475,18468,15117,11387,8783,5798,7249,5.5,8.1,12.4,11.2,8.1,5.8,5.3,5.3,5.1,5.1,4.2,3.2,2.4,1.6,2,5.5,7.9,12,11.3,8.4,6.1,5.6,5.6,5.3,4.9,3.8,3,2.1,1.4,1.6
Florida,20598139,48.9,51.1,10071925,10526214,97.4,2.6,75.4,2.7,16.1,0.3,0.1,2.8,25.2,74.8,20055799,542340,15529098,559168,3316376,58118,12887,5184720,15413419,617521,657211,699552,650704,617492,618774,653838,695182,666945,613907,573398,468884,353420,231596,204152,6.1,6.5,6.9,6.5,6.1,6.1,6.5,6.9,6.6,6.1,5.7,4.7,3.5,2.3,2,583585,626957,674394,641298,629548,627945,672627,727190,732485,700470,662569,542743,403820,292005,331789,5.5,6,6.4,6.1,6,6,6.4,6.9,7,6.7,6.3,5.2,3.8,2.8,3.2,5.8,6.2,6.7,6.3,6.1,6.1,6.4,6.9,6.8,6.4,6,4.9,3.7,2.5,2.6
