age,core,excl,low_compl,abs diff. core - excl.,abs diff. core - low compl.,z-val (core/excl.),p-val (core/excl.),z-val (core/low compl.),p-val (core/low compl.)
18-19,0.031,0.164,0.098,0.132,0.067,-5.692,0.0,-3.795,0.0
20-24,0.111,0.164,0.235,0.052,0.124,-1.542,0.123,-4.326,0.0
25-29,0.185,0.191,0.211,0.006,0.026,-0.154,0.877,-0.814,0.416
30-34,0.145,0.173,0.123,0.028,0.022,-0.759,0.448,0.782,0.434
35-39,0.131,0.082,0.093,0.049,0.038,1.43,0.153,1.412,0.158
40-44,0.094,0.045,0.078,0.049,0.016,1.664,0.096,0.671,0.502
45-49,0.084,0.055,0.059,0.029,0.025,1.036,0.3,1.14,0.254
50-54,0.064,0.073,0.044,0.008,0.02,-0.32,0.749,1.058,0.29
55-59,0.064,0.027,0.029,0.037,0.035,1.523,0.128,1.882,0.06
60-64,0.038,0.018,0.02,0.02,0.019,1.052,0.293,1.278,0.201
65-69,0.033,0.0,0.005,0.033,0.028,1.935,0.053,2.186,0.029
70-74,0.014,0.009,0.0,0.005,0.014,0.409,0.683,1.695,0.09
75-79,0.005,0.0,0.0,0.005,0.005,0.76,0.447,1.035,0.301
80-84,0.0,0.0,0.005,0.0,0.005,,,-1.678,0.093
