,prop. core,prop. excl.,prop. low compl.,abs. diff. core - excl.,abs. diff. core - low coml.,z-val (core/excl.),p-val (core/excl.),z-val (core/low compl.),p-val (core/low compl.)
18-19,3.316749585406302,10.81081081081081,10.256410256410255,7.494061225404509,6.939660671003954,-3.506867132748908,0.0004534154850913498,-3.8605665571097654,0.00011312442072454054
20-24,14.759535655058043,16.216216216216218,15.384615384615385,1.4566805611581746,0.625079729557342,-0.39513667565535016,0.6927420232951937,-0.21301218889670437,0.8313174554931985
25-29,10.613598673300165,19.81981981981982,20.0,9.206221146519654,9.386401326699835,-2.7385558788524182,0.0061709672635089,-3.3983297059433935,0.0006779865766337743
30-34,11.608623548922056,9.00900900900901,14.871794871794872,2.5996145399130466,3.2631713228728163,0.7979737153785273,0.42488574349274166,-1.2016032600827544,0.22951727779767905
35-39,8.7893864013267,7.207207207207207,5.641025641025641,1.582179194119493,3.148360760301059,0.5480288381960282,0.58367210149682,1.4070964955004017,0.1593987771635177
40-44,12.106135986733001,9.00900900900901,12.307692307692308,3.097126977723992,0.2015563209593072,0.9355662289009566,0.3494965691079568,-0.07487364118023906,0.9403152489645668
45-59,10.945273631840797,5.405405405405405,7.6923076923076925,5.539868226435392,3.2529659395331043,1.7812912051494905,0.07486489051323345,1.3075395560651752,0.19102952984611
50-54,7.462686567164178,10.81081081081081,6.153846153846154,3.348124243646632,1.3088404133180243,-1.1960537700951448,0.23167557662936888,0.6169039797084824,0.5372980616849098
55-59,7.960199004975125,5.405405405405405,4.102564102564102,2.5547935995697193,3.8576349024110224,0.9355267782497158,0.34951688971654216,1.8331692499464893,0.06677740529264811
60-64,7.131011608623548,2.7027027027027026,1.5384615384615385,4.428308905920845,5.59255007016201,1.7463850810916448,0.08074406057357474,2.912724791650341,0.003582902165092475
65-69,4.477611940298507,2.7027027027027026,1.0256410256410255,1.7749092375958044,3.4519709146574815,0.8565578959163866,0.3916892632803547,2.239145764888757,0.025146433354758056
70-74,0.8291873963515755,0.9009009009009009,1.0256410256410255,0.07171350454932546,0.1964536292894501,-0.07606378697556555,0.9393683504512336,-0.2557409075688742,0.798150905588239
75-79,0.0,0.0,0.0,0.0,0.0,,,,
80-84,0.0,0.0,0.0,0.0,0.0,,,,
